Name,Awards,Institution
Ujjwal Maulik,11,University of Ljubljana
Ujjwal Maulik,11,Corvinus University
Ujjwal Maulik,11,University of Warsaw
Derek McAuley,NaN,University of Glasgow
Derek McAuley,NaN,University of Nottingham
John McCarthy,7,Stanford University
John McCarthy,7,Massachusetts Institute of Technology
John McCarthy,7,Dartmouth College
John McCarthy,7,Princeton University
Andrew McCallum,NaN,University of Massachusetts Amherst
Andrew McCallum,NaN,Google Research
Lambert Meertens,2,Centrum Wiskunde & Informatica
Lambert Meertens,2,Utrecht University
Lambert Meertens,2,Kestrel Institute
Kurt Mehlhorn,NaN,Universität des Saarlandes
Robin Milner,NaN,Ferranti
Robin Milner,NaN,"City University, London"
Robin Milner,NaN,Swansea University
Robin Milner,NaN,Stanford University
Robin Milner,NaN,University of Edinburgh
Robin Milner,NaN,University of Cambridge
Robin Milner,NaN,Aarhus University
Jack Minker,NaN,"University of Maryland, College Park"
Marvin Minsky,5,Massachusetts Institute of Technology
James G. Mitchell,NaN,Oracle
James G. Mitchell,NaN,Sun Microsystems
James G. Mitchell,NaN,Acorn Computers
James G. Mitchell,NaN,Xerox PARC
Tom M. Mitchell,NaN,Carnegie Mellon University
Tom M. Mitchell,NaN,Rutgers University
Arvind Mithal,NaN,"University of California, Irvine"
Arvind Mithal,NaN,Indian Institutes of Technology
Arvind Mithal,NaN,Massachusetts Institute of Technology
Arvind Mithal,NaN,University of Tokyo
Arvind Mithal,NaN,Bluespec
Cleve Moler,NaN,University of Michigan
Cleve Moler,NaN,Stanford University
Cleve Moler,NaN,University of Waterloo
Cleve Moler,NaN,clarification needed
Cleve Moler,NaN,University of New Mexico
Gordon Moore,NaN,Intel
Gordon Moore,NaN,Gordon and Betty Moore Foundation
Gordon Moore,NaN,California Institute of Technology
Gordon Moore,NaN,Johns Hopkins University Applied Physics Laboratory
Roger Moore,4,Stanford University
Roger Moore,4,Ferranti-Packard
Roger Moore,4,I. P. Sharp Associates
Hans Moravec,NaN,Carnegie Mellon University
Carroll Morgan,NaN,Oxford University Computing Laboratory
Carroll Morgan,NaN,University of New South Wales
Joel Moses,NaN,MIT
Stephen Muggleton,NaN,Imperial College London
Stephen Muggleton,NaN,University of Oxford
Stephen Muggleton,NaN,Turing Institute
Stephen Muggleton,NaN,University of York
Klaus-Robert Müller,NaN,Technical University of Berlin
Klaus-Robert Müller,NaN,University of Potsdam
